11740 MATH043.05; PRECALC III: ADVANCED TOPICS; Lund, Lance M.; MTWR 1000-1215; L65
11645 COUN200.82; ORIENTATION TO COLLEGE; Huynh, Ky-Duyen L.; MTWR 0900-1110; L36
11644 COUN200.94; ORIENTATION TO COLLEGE; Wethington, Pauline; MTWR 0900-1110; L61
11643 COUN200.14; ORIENTATION TO COLLEGE; Fu, Mark Y.; TWR 0900-1110; L34
11642 COUN200.66Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1800-2010; L61
11641 COUN200.62Y; ORIENTATION TO COLLEGE; Wethington, Pauline; MTWR 1500-1710; L64
11640 COUN200.61Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1500-1710; L62
11639 COUN200.60Y; ORIENTATION TO COLLEGE; Fu, Mark Y.; MTWR 1500-1710; L61
11638 COUN200.56Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1800-2010; L62
11637 COUN200.55Y; ORIENTATION TO COLLEGE; Wethington, Pauline; MTWR 1500-1710; L66
11636 COUN200.54Y; ORIENTATION TO COLLEGE; Dahlke, Barbara; MTWR 1500-1710; L66
11635 COUN200.53Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1800-2010; L61
11634 COUN200.51Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1500-1710; L64
11633 COUN200.50Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1500-1710; L61
11632 COUN200.46Y; ORIENTATION TO COLLEGE; Claros, Randy L.; MTWR 1800-2010; L65
11631 COUN200.45Y; ORIENTATION TO COLLEGE; Alexander, Robert M.; MTWR 1800-2010; L64
11630 COUN200.44Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1800-2010; L62
11629 COUN200.43Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1800-2010; L61
11628 COUN200.42Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1500-1710; L64
11627 COUN200.41Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1500-1710; L62
11626 COUN200.40Y; ORIENTATION TO COLLEGE; Woo, Shireen L.; MTWR 1500-1710; L61
11625 COUN200.39Y; ORIENTATION TO COLLEGE; Clem, Robert M.; MTWR 1800-2010; L66
11624 COUN200.38Y; ORIENTATION TO COLLEGE; Claros, Randy L.; MTWR 1800-2010; L65
11623 COUN200.37Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1800-2010; L64
11622 COUN200.36Y; ORIENTATION TO COLLEGE; Hernando, Herminio W.; MTWR 1800-2010; L62
11621 COUN200.35Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1800-2010; L61
11620 COUN200.34Y; ORIENTATION TO COLLEGE; Hughes, Melinda; MTWR 1500-1710; MQ-2A
11619 COUN200.33Y; ORIENTATION TO COLLEGE; Claros, Randy L.; MTWR 1500-1710; L66
11618 COUN200.32Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1500-1710; L64
11617 COUN200.31Y; ORIENTATION TO COLLEGE; Dahlke, Barbara; MTWR 1500-1710; L62
11616 COUN200.30Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1500-1710; L61
11615 COUN200.28Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1800-2010; L65
11614 COUN200.27Y; ORIENTATION TO COLLEGE; Hernando, Herminio W.; MTWR 1800-2010; L64
11613 COUN200.26Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1800-2010; L62
11612 COUN200.25Y; ORIENTATION TO COLLEGE; Claros, Randy L.; MTWR 1800-2010; L25
11611 COUN200.24Y; ORIENTATION TO COLLEGE; Kaku, Michael M.; MTWR 1500-1710; MQ-2A
11610 COUN200.23Y; ORIENTATION TO COLLEGE; Pierre, Adrienne R.; MTWR 1500-1710; L66
11609 COUN200.22Y; ORIENTATION TO COLLEGE; Woo, Shireen L.; MTWR 1500-1710; L64
11608 COUN200.21Y; ORIENTATION TO COLLEGE; Joplin, Natasha W.; MTWR 1500-1710; L62
11607 COUN200.20Y; ORIENTATION TO COLLEGE; Dahlke, Barbara; MTWR 1500-1710; L61
11606 P E 32SX55; WOMEN'S SOCCER TECHNIQUES; Owiesny, Cheryl L.; TBA -; FLDS
11605 P E 32SX01; WOMEN'S SOCCER TECHNIQUES; Owiesny, Cheryl L.; TR 1630-1920; FLDS
11604 P E 32MX55; SOCCER TECHNIQUES; Johnson, Mark R.; TBA -; FLDS
11603 P E 32MX01; SOCCER TECHNIQUES; Johnson, Mark R.; MW 1230-1520; FLDS
11602 P E 32LX01; VOLLEYBALL TECHNIQUES; Guevara, Dawnis C.; MW 0700-0950; PE21W
11601 P E 072G61; YOGA FOR RELAXATION; Ghiasvand, Farzaneh; MW 1800-1950; PE15
11600 P E 008.01; TOTAL FITNESS; Atencio, Dan A.; TR 1200-1350; PE11L
11599 P E 009.04; CARDIO/STRENGTH TRAIN; Atencio, Dan A.; MW 1000-1150; PE11L
11598 GEOL020.64Z; GENERAL OCEANOGRAPHY; Dileonardo, Christopher G.; TBA -; ONLINE
11596 BUS 054.61Z; BUSINESS MATHEMATICS; Spencer, Sandra L.; TBA -; ONLINE
11595 PSYC006.01; INTRO HUMANISTIC PSYCH; Bunce, Daniel J.; TWR 1230-1455; ADM101
11594 P E 072G01; YOGA FOR RELAXATION; May, Christian R.; MW 1200-1350; PE14
11593 P E 072D02; POWER YOGA; May, Christian R.; MW 1600-1740; PE15
11592 P E 016D01; ADVANCED BEGINNING GOLF; Hertler, David S.; TR 1000-1150; FLDGLF
11590 P E 072F02; MIND-BODY FUSION; Ghiasvand, Farzaneh; MW 0800-0950; PE14
11589 P E 072D01; POWER YOGA; Simons, Kelly; TR 1000-1150; PE15
11588 P E 072F01; MIND-BODY FUSION; Simons, Kelly; TR 2000-2150; PE15
11586 CIS 022B03Y; INTERMED PROG METHOD C++; Ahrens, Edward J.; MTWR 1500-1650; AT205
11582 CIS 099.01Y; OFFICE SOFTWARE APPLICATIONS; Morgan Jr, Alexander; MTWR 1500-1650; AT202
11581 CIS 036A61Y; INTRO TO COMP PROG USING JAVA; Nguyen, Tuan S.; TR 1800-2150; AT312
11579 E S 001.03; INTRO ENVIRON STDS; Nakase, Dana K.; MTWR 1430-1620; KC112
11578 E S 001.02; INTRO ENVIRON STDS; Nakase, Dana K.; MTWR 1230-1420; KC112
11576 ESCI092.55; SNTA CLRA CNTY FLD STDY:RAPTOR; Phillips, Ryan A.; R 1730-1920; KC112
11575 ESCI019.62; ENVIRON BIOLOGY; Voelkel, Sharene R.; MTWR 1530-1720; KC115
11572 ESCI001.61Z; ENVIRON SCIENCE; Clark, Jana L.; TBA -; ONLINE
11571 ESCI001.03; ENVIRON SCIENCE; Frisbee, Adrienne E.; MTWR 1330-1520; KC115
11570 E S 077Z65R; SPEC PROJS IN ENVIRON. STUDIES; Muthyala-Kandula, Anita; TBA -; TBA
11568 E S 077X65R; SPEC PROJS IN ENVIRON. STUDIES; Muthyala-Kandula, Anita; TBA -; TBA
11567 MATH041.08; PRECALC I:THEORY AND FUNCTIONS; Krestas, George V.; MTWR 1500-1715; MLC108
11566 MATH041.01; PRECALC I:THEORY AND FUNCTIONS; Danilova, Nina; MTWR 0730-0945; G5
11565 MATH011.07; FINITE MATHEMATICS; Hansen, Joel W.; MTWR 1500-1715; S45
11564 MATH011.03; FINITE MATHEMATICS; Auyoung, Yatman; MTWR 0730-0945; E34
11563 MATH001B01; CALCULUS; Kryliouk, Iaroslav; MTWR 0730-0945; E32
11562 BIOL011.63; HUMAN BIOLOGY; Kang'a, Simon; MTWR 1430-1620; S34
11559 P E 009.01; CARDIO/STRENGTH TRAIN; Atencio, Dan A.; TR 1200-1350; PE11L
11558 P E 007A01; MOTOR SKILLS ASSESS AND DEVELO; Beggs, Thomas W.; MTWR 0500-0550; POOLM
11557 HTEC060H01; ADVANCED MEDICAL TERMINOLOGY; Powers, Roberta R.; MW 1230-1420; S74
11555 BIOL011.62; HUMAN BIOLOGY; Angeles, Miguel A.; MTWR 1630-1820; S34
11554 BIOL011.61; HUMAN BIOLOGY; Angeles, Miguel A.; MTWR 1630-1820; S34
11553 BIOL011.04; HUMAN BIOLOGY; Sengupta, Lakshmikanta; MTWR 1430-1620; SC1102
11552 BIOL011.03; HUMAN BIOLOGY; Sengupta, Lakshmikanta; MTWR 1430-1620; SC1102
11549 BIOL010.06; INTRO BIOLOGY; Sengupta, Susmita; MTWR 1230-1420; MLC103
11548 BIOL010.05; INTRO BIOLOGY; Sengupta, Susmita; MTWR 1230-1420; MLC103
11547 BUS 089.61Z; ADVERTISING; Morgan, Dionne C.; TBA -; ONLINE
11546 ACCT067A61Z; FED INCOME TAX; Botsford, Lydia R.; TBA -; ONLINE
11545 P E 42WX01; INTRCOLLEG VOLLEY (WOMEN); Guevara, Dawnis C.; MTWR 1230-1440; PE21W
11543 P E 040X01; INTERCOLLEGIATE FOOTBALL; Atencio, Dan A.; MTWR 1400-1610; ST-FLD
11542 CIS 036A01Y; INTRO TO COMP PROG USING JAVA; Moussalem, Mounjed R.; MTWR 1500-1650; AT312
11541 PARA084.01; TRIAL PREPARATION; Raftery Piunti, Kelly; MTW 1230-1455; L22
11540 PARA098.01; DRAFT WILLS/TRUSTS; Ellis, Terry R.; MTW 1000-1225; L22
11539 ADMJ061.61; CRIMINAL INVESTIGATION; Garrido, Jeremiah S.; TR 1800-2150; L21
11538 HIST006C01; HISTORY OF WESTRN CIVILIZATION; Jackson, Christopher R.; TWR 1000-1225; SC1102
11537 HIST003C65Z; WORLD HISTORY; Mujal, Carlos L.; TBA -; ONLINE
11536 HIST017C02; HIST U.S. 1900- PRESENT; Hamer, John H.; TWR 1000-1225; MLC260
11535 HIST003C61Z; WORLD HISTORY; Mujal, Carlos L.; TBA -; ONLINE
11534 HIST003A02; WORLD HISTORY; Jackman, Rashi A.; TWR 1500-1725; G10
11533 C D 090.61; INTERVENTION STRATEGIES; Talamantez, Rachel J.; TR 1800-2050; CD2-28
11532 C D 050.01; PRNCPLS/PRACT TEACH YNG CHILDR; Vargas, Nellie E.; TWR 1000-1225; CD2-28
11531 CIS 095E55L; CAPM AND PMP EXAM PREPARATION; Janakiraman, Guharaman; US 0830-1620; AT204
11530 CIS 056.61Y; NETWORK SECURITY; Carr, James L.; MW 1800-2150; AT205
11529 CIS 004.61Z; COMPUTER LITERACY; Holmes, Patricia A.; TBA -; ONLINE
11528 CIS 102.61Z; ETHICAL HACKING; Fisk, Leonard W.; R 1800-2150; AT205
11527 BUS 060.61Z; INTERNATL BUSINESS MANAGEMENT; Yurtseven, Lale; TBA -; ONLINE
11526 BUS 018.65Z; BUSINESS LAW I; Salah, Danny; TBA -; ONLINE
11523 BUS 010.04; INTRO TO BUSINESS; Brien, Richard H.; MTWR 1500-1715; ADM102
11522 ANTH001.61Z; PHYS ANTHRO; Hui, Julie M.; TBA -; ONLINE
11521 ANTH002.61; CULTURAL ANTHROPOLOGY; Olsen, Nancy H.; TWR 1800-2025; L24
11520 SPED235W01F; TRANSITION TO CAMPUS; Baker, Tracy A.; MTWR 0800-1405; HOPEA
11519 DANC022.61; BODY AWRNESS/CONDTNG DANCERS; Shaw, Janet L.; MW 1800-2000; PE11U
11518 DANC023L01; THEOR/TECHN HIP-HOP I; Gallegos, Vernon D.; TR 1230-1420; PE11U
11517 DANC025B01; THEORY & TECHNIQUE SALSA II; Gallegos, Vernon D.; TWR 1430-1620; PE11U
11516 DANC025A01; THEORY & TECHNIQUE SALSA I; Gallegos, Vernon D.; TWR 1430-1620; PE11U
11515 DANC022M01; THEORY AND TECH OF BALLET III; Lucas, Warren R.; MTW 1000-1150; PE11U
11514 MUSI014D01; CLASSICAL GUITAR IV; Zussman, Benett T.; MW 1230-1520; A31
11512 THEA001.61; APPREC OF THEATRE; Schwartz, Neil J.; TWR 1800-2025; G3
11511 F/TV053.01; NON-LINEAR EDITING; Gillette, Aimee S.; MW 1330-1620; AT102
11508 SPED235Y02F; TRANSITION TO CAMPUS; Sheirich, Monica L.; MTWR 0800-1420; HOPEW
11507 SPED235Y01F; TRANSITION TO CAMPUS; Magnin, Christine; MTWR 0800-1420; HOPEA
11505 SPED235V02F; TRANSITION TO CAMPUS; Sheirich, Monica L.; MTWRF 1000-1410; HOPEW
11504 SPED235V01F; TRANSITION TO CAMPUS; Magnin, Christine; MTWR 1000-1410; HOPEA
11503 ARTS053A01; INTRO VISUAL TECHNOLOGY; Marquez, Marco A.; TWR 1230-1620; AT101
11502 ARTS004B01; INTERM DRAWING; Allie, Barbara J.; TWR 1230-1620; A93
11499 POLI001.61; AMERICAN GOVT & POLITICS; Caserta, Dominic J.; TWR 1800-2025; MLC111
11498 PHIL008.02; ETHICS; Hammerud, Richard G.; MTW 1230-1455; L25
11497 HUMI015.61Z; DISCUSSION ON THE ARTS; Hoffman, Barbara S.; TBA -; ONLINE
11496 GEO 010.61; WORLD REGIONAL GEOGRAPHY; Dutt, Sohini; TWR 1800-2025; L23
11495 GEO 001.61Z; PHYSICAL GEOGRAPHY; Rohrmeier, Kerry D.; TBA -; ONLINE
11494 GEO 010.01; WORLD REGIONAL GEOGRAPHY; Ohalloran, Eileen P.; TWR 1000-1225; L23
11492 AUTO067A61; HYBRID ELECTRIC VEHICLES; Walton, Johnathan P.; MW 1800-2215; E12F
11462 ICS 077Z65R; SPEC PRJCTS IN ICS; Chang, Michael; TBA -; MQ-3
11456 SOSC082X65R; COMM BASED LRNG SOSC-INTERMED; Kaufman, Cynthia; TBA -; TBA
11452 SPCH010.09; FUND OF ORAL COMMUNICATN; Woods, Matthew J.; MW 0830-1220; AT115
11449 MATH002B05; LINEAR ALGEBRA; Khosravi, Mehrdad; TWR 1230-1445; G5
11447 EWRT001B68Z; READNG, WRTNG & RESRCH; Gray, Charles L.; BA -; ONLINE
11415 ESCI001.02; ENVIRON SCIENCE; Frisbee, Adrienne E.; MTWR 1130-1320; KC115
11407 ADMJ064Z55; ADMJ INTRNSHIP; Ellis, Terry R.; TBA -; L13C
11406 ADMJ064Y55; ADMJ INTRNSHIP; Ellis, Terry R.; TBA -; L13C
11405 ADMJ064X55; ADMJ INTRNSHIP; Ellis, Terry R.; TBA -; L13C
11404 ADMJ064.55; ADMJ INTRNSHIP; Ellis, Terry R.; TBA -; L13C
11403 SPED245.55; TECH ACCESS/SPED (WINDOWS); Chenoweth, Wayne L.; MTW 1000-1225; AT203
11402 SPED290Y55; TECH ACCESS PRACTICE/SPED; Chenoweth, Wayne L.; TBA -; AT203
11401 SPED290X55; TECH ACCESS PRACTICE/SPED; Chenoweth, Wayne L.; TBA -; AT203
11400 SPED240.55; TECH ACCESS EVAL/SPED STDNTS; Chenoweth, Wayne L.; TBA -; AT203
11399 NUTR010.01; CONTEMP NUTRITION; Knoblaugh, Karen N.; MTWR 0930-1120; S57
11398 EWRT002.61; CRIT READ, WRIT & THINK; Cudahy, Mary A.; MTWR 1730-1945; L36
11395 CIS 099.61Z; OFFICE SOFTWARE APPLICATIONS; Linn Jr, Arthur J.; TBA -; ONLINE
11392 MATH043.07; PRECALC III: ADVANCED TOPICS; Shah, Hemendra K.; MTWR 1500-1715; E33
11391 MATH212.07; COLLEGE MATH PREP:BEG. ALG.; Sales, Parviz; MTWR 1500-1715; S44
11385 HTEC096G55F; MED TRANSCRIPTION EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
11384 HTEC095A55F; MEDICAL ASSISTING EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
11379 E S 003.61Z; IMAGERY OF THE ENVIRONMENT; Thorensen, Lynn W.; TBA -; ONLINE
11377 E S 069.61Z; ENERGY RELIABLTY/YOUR ORGANIZ; Wheelehan, Ronald B.; TBA -; ONLINE
11371 BIOL045.61Z; INTRO HUMAN NUTRITION; Miller, Anne F.; TBA -; ONLINE
11370 BIOL040B02; HUMAN ANAT & PHYSIOLOGY; Balabanian, Nora; TWR 1230-1420; SC1102
11369 BIOL040B01; HUMAN ANAT & PHYSIOLOGY; Balabanian, Nora; MTWR 1230-1420; SC1102
11368 BIOL011.02; HUMAN BIOLOGY; Johnson, Robert K.; MTWR 1230-1420; S34
11365 CHEM001B01; GENERAL CHEMISTRY; Tong, Homer H.; TWR 1030-1145; SC2204
11363 CIS 003.01Y; BUSINESS INFO SYSTEMS; Hepburn, William R.; MTWR 1500-1650; AT311
11362 CIS 022B02Y; INTERMED PROG METHOD C++; Yu, Linyun; MTWR 1230-1420; AT311
11361 CIS 022A04Y; BEG PROG METHOD C++; Goel, Manish; TWR 1000-1150; AT204
11359 SPCH001.62; PUBLIC SPEAKING; Zamora, Levy N.; TR 1800-2150; L43
11358 SPCH010.08; FUND OF ORAL COMMUNICATN; Gray, Joyce A.; WR 1500-1725; L25
11356 EWRT001A10; COMPOSITION AND READING; Hanzimanolis, Margaret C.; MTWR 1230-1445; E24
11354 ELIT017.01; INTRO TO SHAKESPEARE; Smith, Brian F.; TWR 1000-1225; L36
11353 ENGR037.01; INTRO TO CIRCUIT ANALYSIS; Staff, M; MTWR 0930-1145; S48
11351 EWRT274.01; GRAMR/PRFRDNG FOR ACAD WRTNG; Dubarry, Michele A.; TWR 1500-1725; S71
11350 ESL 274.01; GRAMR/PRFRDNG FOR ACAD WRTNG; Dubarry, Michele A.; TWR 1500-1725; S71
11348 PARA064Z55; PARALEGAL INTERNSHIP; Ellis, Terry R.; TBA -; L13C
11347 PARA064Y55; PARALEGAL INTERNSHIP; Ellis, Terry R.; TBA -; L13C
11346 PARA094.61; INTRO TO CALIF LAW; Lindenbaum, Eugene N.; TR 1800-2150; L22
11345 PSYC064Y55; PSYCHOLOGY INTERNSHIP; Healy, Mark C.; TBA -; TBA
11343 MCNC076D61; CAD/CAM USING MASTERCAM; McElravy, Micah S.; MTW 1730-2145; E24
11340 MCNC072.61; APPLD INSPECT/GEO DIMEN; Appio, Michael J.; MTW 1730-2020; E23
11339 MCNC080E65R; SPEC PROJ IN MCNC/NIMS LEVEL 2; Appio, Michael J.; TBA -; E21
11338 MCNC080D65R; SPEC PROJ IN MCNC/NIMS LEVEL 1; Appio, Michael J.; TBA -; E21
11337 MCNC080C65R; SPEC PROJ MCNC/MC CERT LEVEL 3; Appio, Michael J.; TBA -; E21
11336 MCNC080B65R; SPEC PROJ MCNC/MC CERT LEVEL 2; Appio, Michael J.; TBA -; E21
11335 MATH210.07; MATH PREP LEVEL 1:PRE-ALGEBRA; Ghori, Abdul A.; MTWR 1500-1715; G7
11333 MATH041.61; PRECALC I:THEORY AND FUNCTIONS; Rezvani, Mohamad; MTWR 1730-1945; S54
11332 MATH012.01; INTRO CALC FOR BUS AND SOC SCI; Legge, Victor M.; MTWR 0730-0945; S45
11331 MATH011.05; FINITE MATHEMATICS; Sadeghi-Hassanvand, Bijan; MTWR 1000-1215; S54
11330 MATH010.62; ELEM STATS/PROBABILITY; Phelps, Andrew R.; MTWR 1730-1945; G5
11328 P E 006U62; FIT CAMP; Ghiasvand, Farzaneh; TR 1800-1950; PE15
11326 BUS 091.61Z; INTRO TO PERSONAL FINANCE; Salah, Danny; TBA -; ONLINE
11324 BUS 021.61Z; BUSINESS & SOCIETY; Lilly, Byron J.; TBA -; ONLINE
11322 CDI 060.61Z; SOLIDWORKS (BEGINNING); Klingman, Paul B.; TBA -; ONLINE
11321 CDI 060.01; SOLIDWORKS (BEGINNING); Klingman, Paul B.; MTWR 1700-1750; E35
11319 P E 026A02; NOVICE SWIMMING; Donahue, Mary K.; S 1000-1430; POOLE
11311 CIS 022A62Y; BEG PROG METHOD C++; Yeh, Shu H.; R 1800-2150; AT202
11309 CIS 022B61Y; INTERMED PROG METHOD C++; Nguyen, Hoang M.; MW 1800-2150; AT311
11308 CIS 022B01Y; INTERMED PROG METHOD C++; Yu, Linyun; MTWR 1000-1150; AT311
11307 CIS 022A61Y; BEG PROG METHOD C++; Nguyen, Tuan S.; MW 1800-2150; AT312
11306 CIS 022C01Y; DATA ABSTRACT & STRUCTURES; Eftekhari, Kamran; MTWR 1500-1650; AT204
11305 CIS 022A03Y; BEG PROG METHOD C++; Ahrens, Edward J.; MTWR 1230-1420; AT204
